ind,node,weekday_spreader,weekday_susceptible,weekend_spreader,weekend_susceptible
231,YISHUN SOUTH,0.401287500177481,0.245092099851177,0.396504394918716,0.244102704022622
232,KHATIB,0.441755983884886,0.616030946056245,0.427979343297859,0.601443576485871
233,NORTHLAND,0.172370764235472,0.223636022878928,0.167148873230372,0.226184853252924
234,LOWER SELETAR,0.137404327625618,0.177919892907632,0.129884244980912,0.191557899286576
235,MANDAI ESTATE,0.104493445686833,0.119426653913788,0.110518538651987,0.131974297426229
236,ANG MO KIO TOWN CENTRE,0.475723707647583,0.423882568719025,0.491966435085845,0.4018800178012
237,CHENG SAN,0.597653433190367,0.413709690373427,0.552591812081802,0.362030897432559
238,CHONG BOON,0.346412616252901,0.287654863757427,0.350196570430283,0.278811113305632
239,YIO CHU KANG,0.578753029609792,0.5527751674061,0.482225142984705,0.432884555612901
240,KEBUN BAHRU,0.239820934118441,0.27024419802888,0.248104313788919,0.212956766968397
